COLLECTTIME,SITEID,Call_Completion,TCH_DR,DL_Qual_0-5,DL_TBF_SR,HOSR,CS_Traffic,Availability,MS-BS_Distance
2021-08-25,13472,99.77,1.26,94.46,100.0,96.66,52.58,100.0,984.92
2021-08-25,13474,100.0,0.5,97.99,100.0,98.12,45.07,100.0,696.22
2021-08-25,13475,99.89,0.11,98.42,100.0,99.36,49.23,100.0,961.07
2021-08-25,13477,100.0,0.71,98.76,100.0,97.53,55.72,100.0,1061.37
2021-08-25,13800,99.86,0.68,95.84,99.99,98.31,45.67,100.0,3251.7
2021-08-25,13801,99.96,0.38,98.48,100.0,98.75,174.09,100.0,1101.01
2021-08-25,13802,99.46,0.66,97.75,99.99,99.2,52.79,100.0,1597.5
2021-08-25,13803,99.8,0.52,98.02,100.0,98.95,107.84,100.0,2612.26
2021-08-25,13804,99.8,0.13,98.31,100.0,98.97,117.25,100.0,2311.14
2021-08-25,13806,99.69,0.79,96.86,99.99,97.28,33.93,100.0,1136.99
2021-08-25,13807,100.0,0.63,98.57,99.99,96.25,68.31,100.0,2207.09
2021-08-25,13808,99.61,1.18,98.44,99.97,99.5,64.31,100.0,2168.85
2021-08-25,13809,99.74,0.6,98.57,100.0,98.2,98.66,100.0,1914.49
2021-08-25,13810,99.88,0.18,98.51,100.0,85.05,95.3,100.0,2045.46
2021-08-25,13811,100.0,0.72,98.39,99.99,93.72,35.99,100.0,1039.19
2021-08-25,13812,99.71,0.1,96.81,100.0,93.01,54.31,100.0,1851.11
2021-08-25,13813,99.32,0.23,96.93,99.99,97.73,49.34,100.0,2516.18
2021-08-25,13814,99.71,0.86,97.0,100.0,86.03,37.61,100.0,1656.39
2021-08-25,13815,99.69,0.2,98.57,100.0,95.07,49.45,100.0,1056.26
2021-08-25,13816,100.0,0.6,97.61,99.98,92.48,26.6,100.0,1937.36
2021-08-25,13817,100.0,1.17,95.96,99.99,98.54,22.06,100.0,2675.92
2021-08-25,13818,99.8,0.2,98.66,100.0,97.56,98.85,100.0,1225.63
2021-08-25,13819,100.0,0.78,99.04,100.0,98.17,30.24,100.0,647.38
2021-08-25,13820,99.77,0.68,97.64,100.0,98.6,78.09,100.0,1290.79
2021-08-25,13821,99.92,0.59,98.89,100.0,99.31,132.74,100.0,921.23
2021-08-25,13822,100.0,1.64,95.61,99.99,100.0,3.61,100.0,1143.9
2021-08-25,13823,99.79,0.78,97.64,100.0,96.81,102.07,100.0,1017.7
2021-08-25,13824,99.85,0.93,97.67,100.0,98.56,123.31,100.0,1115.28
2021-08-25,13825,99.87,0.82,96.88,99.99,89.81,96.85,100.0,1258.07
2021-08-25,13826,99.52,0.81,96.35,99.93,99.05,31.75,100.0,1567.01
2021-08-25,13827,99.42,1.56,96.1,99.99,97.18,61.71,100.0,1309.54
2021-08-25,13829,100.0,0.48,98.37,99.99,95.13,75.72,100.0,2694.56
2021-08-25,13830,99.55,0.09,97.24,100.0,99.12,64.58,100.0,3241.75
2021-08-25,13831,99.61,0.29,98.98,99.96,100.0,63.47,100.0,1420.89
2021-08-25,13833,100.0,0.8,98.32,99.98,98.69,56.9,100.0,3654.11
2021-08-25,13834,99.79,3.84,96.59,99.97,98.36,35.03,100.0,3079.09
2021-08-25,13835,100.0,3.02,95.6,100.0,94.88,8.23,100.0,1367.5
2021-08-25,13836,99.75,0.25,98.74,99.99,99.46,67.47,100.0,978.48
2021-08-25,13837,99.78,0.11,98.43,99.99,98.15,49.13,100.0,1026.28
2021-08-25,13838,99.79,0.63,97.38,100.0,97.32,64.86,100.0,3220.85
2021-08-25,13840,99.69,0.42,98.47,100.0,98.4,182.85,100.0,1992.89
2021-08-25,13841,99.83,0.85,98.13,99.99,99.82,44.07,100.0,3005.8
2021-08-25,13842,99.6,0.6,97.09,100.0,96.19,24.74,100.0,1345.59
2021-08-25,13843,99.82,0.44,98.1,99.99,98.4,76.2,100.0,1458.36
2021-08-25,13844,99.66,0.54,98.79,99.99,99.26,95.23,100.0,4505.65
2021-08-25,13846,100.0,0.29,99.57,99.98,100.0,19.43,100.0,1246.33
2021-08-25,13847,100.0,0.32,99.27,99.97,99.49,34.92,100.0,1706.49
2021-08-25,13848,99.66,0.17,98.77,99.99,99.76,37.56,100.0,1257.42
2021-08-25,13849,99.74,0.39,98.02,99.99,99.22,39.62,100.0,4205.03
2021-08-25,13850,100.0,0.44,99.45,99.98,99.77,30.12,100.0,1924.56
2021-08-25,13851,100.0,0.79,99.45,99.98,98.89,40.73,100.0,1117.84
2021-08-25,13852,99.52,0.97,99.15,99.98,99.49,46.54,100.0,2250.79
2021-08-25,13853,100.0,0.33,98.98,99.96,99.56,65.97,100.0,1535.23
2021-08-25,13856,100.0,0.28,97.97,99.99,99.02,22.45,100.0,1020.13
2021-08-25,13858,100.0,0.0,99.29,99.97,97.1,30.77,100.0,2025.72
2021-08-25,13859,100.0,2.06,98.18,99.99,99.69,36.65,100.0,2470.04
2021-08-25,13860,99.68,0.32,97.52,100.0,97.04,56.42,100.0,3755.59
2021-08-25,13861,99.43,1.43,97.45,99.98,96.11,23.78,100.0,4088.66
2021-08-25,13862,100.0,0.07,97.83,100.0,97.8,66.62,100.0,1064.53
2021-08-25,13863,100.0,0.11,98.81,99.99,90.21,48.23,100.0,2843.76
2021-08-25,13864,100.0,0.32,98.75,99.98,100.0,15.04,100.0,1227.78
2021-08-25,13865,99.79,0.64,96.61,99.99,95.6,69.42,100.0,1528.25
2021-08-25,13866,100.0,0.0,99.16,100.0,100.0,26.1,100.0,801.5
2021-08-25,13867,99.77,0.7,98.44,99.98,100.0,22.88,100.0,2262.47
2021-08-25,13868,99.91,0.86,98.84,99.98,96.99,82.59,100.0,1627.57
2021-08-25,13869,100.0,0.35,98.53,100.0,82.14,165.64,100.0,5341.28
2021-08-25,13870,100.0,1.42,98.93,99.99,100.0,11.19,100.0,3148.6
2021-08-25,13878,99.67,0.55,98.95,100.0,91.6,86.9,100.0,1075.28
2021-08-25,13879,100.0,0.14,99.61,100.0,97.27,37.82,100.0,691.14
2021-08-25,13880,98.89,0.75,96.87,99.94,97.52,14.32,100.0,1811.07
2021-08-25,13881,99.73,0.8,97.04,99.99,97.45,52.37,100.0,1977.8
2021-08-25,13882,100.0,0.0,99.37,99.93,99.62,19.57,100.0,980.3
2021-08-25,13883,99.52,1.21,97.85,100.0,99.13,219.55,100.0,819.76
2021-08-25,13885,100.0,0.0,99.01,99.98,97.66,28.04,100.0,896.62
2021-08-25,13886,100.0,0.0,97.67,99.97,97.77,24.45,100.0,1505.15
2021-08-25,13887,100.0,0.0,96.41,99.93,98.08,6.56,100.0,8165.66
2021-08-25,13888,97.55,7.46,98.12,99.91,96.83,93.6,87.71,966.91
2021-08-25,13893,99.55,0.8,97.49,99.99,97.98,58.94,100.0,2102.52
2021-08-25,13894,99.72,0.85,98.29,99.98,98.72,33.79,100.0,1698.76
2021-08-25,13896,99.45,0.7,97.08,99.99,97.57,55.59,100.0,3607.56
2021-08-25,13899,99.55,0.18,97.61,99.99,99.69,88.87,100.0,1222.81
2021-08-25,14200,99.73,2.42,98.25,100.0,96.03,113.67,100.0,3034.8
2021-08-25,14204,99.42,1.74,97.42,100.0,97.03,25.71,100.0,1777.51
2021-08-25,14205,99.8,0.41,98.92,99.96,99.3,28.47,100.0,2955.96
2021-08-25,14206,99.42,0.87,95.83,99.92,98.53,58.78,100.0,2640.6
2021-08-25,14212,100.0,1.12,98.23,99.97,100.0,8.99,82.43,2370.65
2021-08-25,14214,100.0,1.19,96.23,99.99,93.98,44.18,100.0,929.6
2021-08-25,14215,100.0,1.7,97.27,99.95,98.39,7.89,100.0,1523.18
2021-08-25,14217,100.0,1.27,98.59,100.0,97.48,9.29,100.0,2345.54
2021-08-25,14219,99.82,0.47,99.55,99.98,99.77,91.95,100.0,1246.64
2021-08-25,14221,98.74,3.57,98.19,100.0,93.75,24.84,100.0,3634.1
2021-08-25,14223,100.0,0.87,97.13,99.95,98.47,23.21,100.0,2105.64
2021-08-25,14225,100.0,10.29,93.5,99.99,94.58,22.55,100.0,1701.84
2021-08-25,14226,100.0,3.74,98.97,99.99,93.51,60.83,100.0,787.82
2021-08-25,14229,100.0,3.85,84.23,99.93,91.67,7.62,100.0,2589.92
2021-08-25,14231,100.0,2.38,95.64,99.95,93.59,5.01,100.0,1123.0
2021-08-25,14232,99.46,1.09,98.22,100.0,95.1,22.61,100.0,1016.57
2021-08-25,14236,100.0,0.0,99.47,99.98,99.95,17.15,100.0,1163.54
2021-08-25,14240,99.55,4.05,96.19,100.0,90.1,49.66,100.0,2317.43
2021-08-25,14241,99.83,4.03,97.87,99.94,97.09,63.94,100.0,2840.08
2021-08-25,14242,99.63,7.01,91.82,99.99,83.92,25.25,100.0,2930.32
2021-08-25,14243,99.09,1.15,96.64,99.95,90.35,26.65,100.0,1547.68
2021-08-25,14244,100.0,3.15,97.01,99.96,91.57,29.51,100.0,2250.9
2021-08-25,14245,99.21,0.99,94.56,99.93,96.8,45.15,100.0,3018.72
2021-08-25,14246,100.0,1.0,97.81,99.98,96.92,34.91,100.0,2022.62
2021-08-25,14248,100.0,1.08,96.27,99.91,97.21,15.65,100.0,2137.74
2021-08-25,14252,99.51,1.96,99.28,99.97,99.64,29.15,82.59,1563.44
2021-08-25,14253,100.0,1.3,99.15,99.96,100.0,4.81,82.55,3272.74
2021-08-25,14254,99.18,0.83,97.18,99.95,91.67,13.26,82.52,3083.45
2021-08-25,14255,100.0,0.0,99.28,99.98,100.0,8.57,100.0,1398.96
2021-08-25,14258,100.0,0.0,98.93,99.97,98.08,7.91,82.22,2010.02
2021-08-25,14261,100.0,0.67,98.65,99.93,99.39,6.51,100.0,1228.42
2021-08-25,14263,99.4,3.01,97.64,100.0,97.57,19.78,100.0,1542.76
2021-08-25,14267,98.08,11.76,84.65,99.95,88.33,3.8,100.0,6483.38
2021-08-25,14268,99.68,0.32,98.05,99.99,99.21,46.0,100.0,3636.7
2021-08-25,14271,99.46,3.78,94.61,100.0,94.41,30.98,100.0,2262.71
2021-08-25,14282,99.8,4.77,96.74,99.99,95.52,70.01,100.0,1486.98
2021-08-25,14289,100.0,0.34,99.29,100.0,99.92,31.28,100.0,1418.65
2021-08-25,14290,99.54,3.2,94.89,100.0,91.24,43.34,100.0,2721.82
2021-08-25,14291,96.67,5.17,92.98,99.99,96.77,5.01,100.0,3536.39
2021-08-25,14294,100.0,1.54,94.52,99.99,97.17,34.84,100.0,2908.33
2021-08-25,14295,99.77,6.39,96.42,100.0,93.86,151.74,100.0,1575.16
2021-08-25,14297,100.0,2.33,96.31,99.98,97.26,6.69,100.0,2106.89
2021-08-25,14298,99.74,4.86,98.21,99.99,96.67,204.87,93.29,2707.28
2021-08-25,14299,100.0,6.78,95.87,100.0,94.13,13.53,100.0,2979.88
2021-08-25,14503,,,,100.0,,0.0,100.0,550.0
2021-08-25,14508,100.0,1.46,98.12,99.98,97.06,55.92,100.0,1494.25
2021-08-25,14509,99.6,2.8,96.07,99.98,95.27,65.15,100.0,2822.79
2021-08-25,14700,100.0,0.0,98.68,99.96,99.64,16.02,82.2,2535.32
2021-08-25,14701,99.72,0.09,98.09,99.99,99.07,47.7,82.09,1270.29
2021-08-25,14702,99.9,0.1,98.45,99.99,99.01,69.4,100.0,1638.86
2021-08-25,14703,99.69,1.55,98.45,99.98,98.43,21.06,100.0,2036.59
2021-08-25,14704,99.82,0.54,98.0,100.0,98.7,27.73,68.75,4573.28
2021-08-25,14705,100.0,0.94,97.31,99.97,97.97,36.9,100.0,1507.44
2021-08-25,14706,100.0,0.84,99.21,99.98,98.47,170.52,100.0,1640.47
2021-08-25,14707,99.9,0.41,96.77,99.99,96.59,61.68,100.0,1834.04
2021-08-25,14708,99.08,2.11,97.02,99.98,91.66,66.29,41.1,1543.94
2021-08-25,14709,99.89,0.45,96.93,100.0,97.99,78.97,100.0,4581.14
2021-08-25,14710,100.0,0.49,98.95,99.97,96.2,61.64,100.0,1928.25
2021-08-25,14711,99.6,1.47,98.03,100.0,97.09,77.42,100.0,3174.78
2021-08-25,14712,99.35,0.66,98.17,99.99,98.21,84.56,100.0,2500.48
2021-08-25,14713,100.0,0.49,98.8,100.0,97.28,88.25,100.0,3892.93
2021-08-25,14714,100.0,1.8,99.13,100.0,94.37,229.8,100.0,970.41
2021-08-25,14715,100.0,0.13,99.08,99.99,99.35,332.26,100.0,1119.69
2021-08-25,14716,99.77,3.2,97.47,99.99,95.67,49.61,100.0,1274.07
2021-08-25,14717,99.26,1.49,95.66,100.0,94.47,36.23,100.0,2786.78
2021-08-25,14718,99.66,1.89,98.54,100.0,94.08,75.27,100.0,1444.61
2021-08-25,14719,99.53,6.67,96.56,99.98,94.33,43.29,100.0,3432.46
2021-08-25,14720,100.0,1.57,95.57,99.91,92.71,8.0,100.0,1474.29
2021-08-25,14722,100.0,0.0,99.31,100.0,100.0,12.43,100.0,1706.22
2021-08-25,14723,100.0,0.0,97.88,99.97,98.19,16.32,100.0,2596.73
2021-08-25,14724,99.7,0.3,98.3,99.99,98.15,39.62,100.0,2341.9
2021-08-25,14725,100.0,0.0,98.14,99.98,98.43,15.65,100.0,2658.81
2021-08-25,14726,99.9,0.21,98.2,99.99,98.68,69.77,100.0,1289.13
2021-08-25,14727,99.78,0.81,98.07,99.99,99.36,82.19,100.0,3601.02
2021-08-25,14728,100.0,0.0,98.45,99.95,100.0,1.37,100.0,3294.38
2021-08-25,14729,100.0,0.19,98.16,99.91,98.72,28.24,100.0,1546.58
2021-08-25,14730,100.0,4.9,96.25,99.99,93.16,38.33,100.0,2934.62
2021-08-25,14732,99.82,0.36,99.09,99.99,99.68,31.84,100.0,2873.66
2021-08-25,14733,99.76,0.96,97.35,100.0,96.57,84.51,100.0,1489.59
2021-08-25,14734,99.71,0.58,99.45,100.0,99.4,154.7,100.0,881.86
2021-08-25,14736,100.0,5.28,97.65,100.0,95.31,29.93,100.0,791.42
2021-08-25,14737,99.92,2.18,98.66,99.98,89.76,114.39,100.0,1047.05
2021-08-25,14739,99.83,2.23,97.39,100.0,86.64,48.66,100.0,1015.3
2021-08-25,14740,99.67,3.28,98.34,99.99,93.42,148.02,100.0,971.81
2021-08-25,14741,99.46,3.27,96.61,99.99,91.04,48.53,100.0,1036.59
2021-08-25,14742,98.74,10.2,95.37,100.0,97.98,130.02,100.0,1837.53
2021-08-25,14744,99.51,2.17,98.72,100.0,98.68,156.23,100.0,1391.55
2021-08-25,14745,99.43,6.55,96.79,99.99,85.17,79.94,100.0,1054.16
2021-08-25,14746,100.0,0.95,97.33,99.99,96.9,31.82,100.0,2114.5
2021-08-25,14747,100.0,0.61,98.98,99.97,96.91,7.68,100.0,1164.69
2021-08-25,14748,99.53,6.13,95.21,99.99,94.08,22.56,100.0,2435.11
2021-08-25,14749,100.0,0.0,96.89,99.98,100.0,3.01,100.0,1211.9
2021-08-25,14750,100.0,0.33,98.82,99.99,99.68,23.03,82.18,1591.6
2021-08-25,14751,99.81,0.58,97.6,99.96,98.0,19.44,82.14,2966.1
2021-08-25,14752,99.65,0.35,98.74,99.99,98.78,20.76,100.0,2302.66
2021-08-25,14753,99.41,1.7,97.79,100.0,97.37,106.6,100.0,5738.84
2021-08-25,14754,100.0,0.76,99.27,99.94,100.0,6.9,100.0,942.82
2021-08-25,14755,99.8,1.44,95.76,99.97,76.86,22.32,100.0,1979.77
2021-08-25,14756,100.0,4.61,93.15,99.99,89.64,11.03,100.0,3303.77
2021-08-25,14757,100.0,0.28,99.01,99.93,99.33,18.11,100.0,2845.03
2021-08-25,14758,98.83,6.93,95.08,100.0,94.15,68.84,100.0,2030.68
2021-08-25,14759,99.12,2.22,94.59,99.99,91.85,17.63,100.0,1539.64
2021-08-25,14760,99.71,0.86,97.37,100.0,94.05,77.86,100.0,2269.31
2021-08-25,14761,100.0,0.84,99.88,99.9,94.44,4.29,100.0,550.43
2021-08-25,14762,100.0,6.9,89.53,99.94,100.0,2.19,100.0,1489.12
2021-08-25,14763,99.58,0.99,97.4,100.0,94.3,99.54,100.0,3263.37
2021-08-25,14764,99.37,4.74,96.96,99.98,95.95,124.95,100.0,1976.39
2021-08-25,14765,99.6,2.83,95.74,99.99,92.77,43.39,100.0,1874.71
2021-08-25,14766,99.62,1.92,95.16,100.0,93.98,17.07,100.0,2244.32
2021-08-25,14767,99.07,0.93,98.14,100.0,97.86,6.0,100.0,902.89
2021-08-25,14768,99.91,0.8,97.38,100.0,97.24,112.91,100.0,1215.4
2021-08-25,14769,99.61,1.96,96.2,100.0,96.8,16.14,100.0,1911.25
2021-08-25,14770,99.37,0.0,98.96,99.98,100.0,14.13,82.56,888.42
2021-08-25,14771,99.79,0.86,98.62,99.99,99.64,31.25,100.0,1805.68
2021-08-25,14772,100.0,0.5,98.7,100.0,99.21,98.28,100.0,2071.67
2021-08-25,14773,98.69,0.0,98.34,99.96,97.86,9.29,82.2,2274.01
2021-08-25,14774,99.05,2.2,96.74,99.99,94.13,68.9,100.0,3094.6
2021-08-25,14775,100.0,0.11,98.95,99.99,98.82,71.99,100.0,960.54
2021-08-25,14776,100.0,1.25,98.35,99.99,97.6,37.34,100.0,2391.04
2021-08-25,14777,99.83,2.26,97.32,99.99,84.68,54.62,100.0,2751.83
2021-08-25,14778,100.0,0.4,99.47,99.97,100.0,9.53,100.0,1550.3
2021-08-25,14779,99.78,0.22,99.3,99.94,100.0,18.79,100.0,968.11
2021-08-25,14780,100.0,1.14,96.57,99.96,100.0,8.73,100.0,2433.21
2021-08-25,14781,100.0,0.0,98.4,99.96,98.73,18.34,100.0,1787.88
2021-08-25,14782,100.0,0.0,97.21,99.99,98.64,6.34,100.0,1380.32
2021-08-25,14783,99.9,1.73,97.43,100.0,91.6,69.86,100.0,1775.57
2021-08-25,14784,99.83,2.42,99.03,99.97,98.3,47.97,100.0,2188.16
2021-08-25,14785,99.71,1.47,99.25,99.94,97.75,20.37,82.49,895.27
2021-08-25,14786,100.0,1.57,97.65,99.98,97.3,16.41,100.0,2712.67
2021-08-25,14787,99.41,2.68,95.91,99.99,93.68,86.49,100.0,2958.96
2021-08-25,14788,99.13,0.44,94.7,100.0,87.03,13.31,100.0,2532.74
2021-08-25,14789,100.0,2.66,99.74,99.97,99.74,17.71,100.0,970.61
2021-08-25,14790,100.0,0.58,98.57,99.94,98.54,23.46,100.0,4354.86
2021-08-25,14791,99.47,1.18,96.95,99.99,96.18,67.82,100.0,2958.86
2021-08-25,14793,99.74,1.54,96.05,99.99,95.44,31.62,100.0,1029.35
2021-08-25,14794,100.0,4.96,97.15,99.98,98.67,53.24,100.0,866.64
2021-08-25,14795,100.0,2.74,92.21,100.0,95.74,6.96,100.0,1133.66
2021-08-25,14796,100.0,0.5,96.18,99.97,96.08,49.79,100.0,2204.14
2021-08-25,14797,100.0,0.73,98.55,100.0,97.8,40.37,100.0,2791.27
2021-08-25,14798,100.0,0.34,98.99,99.98,97.13,63.83,100.0,1839.18
2021-08-25,17303,100.0,1.85,95.75,100.0,66.67,1.14,100.0,3573.24
2021-08-25,17304,100.0,0.48,99.65,100.0,100.0,13.79,100.0,3080.58
2021-08-25,17305,99.15,4.31,98.88,100.0,97.59,7.53,66.67,3337.95
2021-08-25,17306,97.66,0.8,98.13,100.0,100.0,11.79,100.0,5510.19
2021-08-25,17308,99.59,0.73,97.57,99.99,97.62,56.41,100.0,4346.99
2021-08-25,17309,99.69,0.0,98.0,100.0,83.33,13.05,100.0,4843.96
2021-08-25,17313,97.83,2.22,97.85,100.0,100.0,2.61,100.0,5993.78
2021-08-25,17314,99.77,0.86,98.39,99.96,91.14,68.85,96.76,2473.22
2021-08-25,17318,99.57,0.52,97.32,100.0,98.0,95.86,100.0,3985.95
2021-08-25,17319,99.75,0.69,96.75,100.0,84.39,82.43,100.0,4930.63
2021-08-25,17320,,,,,,0.0,0.0,
2021-08-25,17321,99.53,0.63,96.65,100.0,97.83,24.44,100.0,2147.74
2021-08-25,17322,99.55,0.3,97.72,100.0,98.73,30.62,100.0,1982.42
2021-08-25,17323,100.0,0.0,98.32,99.97,100.0,10.26,100.0,2280.93
2021-08-25,17324,100.0,1.27,98.13,99.99,100.0,5.44,100.0,3322.52
2021-08-25,17325,100.0,0.0,99.24,100.0,100.0,2.93,100.0,3145.08
2021-08-25,17326,100.0,0.0,95.9,100.0,100.0,4.2,100.0,2926.85
2021-08-25,17327,100.0,0.0,97.67,99.94,100.0,1.08,99.91,2365.49
2021-08-25,17328,100.0,0.0,98.1,100.0,100.0,0.89,99.63,2014.72
2021-08-25,17330,99.64,0.0,98.88,99.99,100.0,12.38,100.0,6207.14
2021-08-25,17340,99.37,1.74,96.31,99.93,92.23,290.26,100.0,1825.42
2021-08-25,17341,99.8,0.0,98.95,100.0,100.0,26.63,100.0,3318.65
2021-08-25,17343,100.0,0.54,99.83,99.98,92.08,9.17,99.31,1035.47
2021-08-25,17344,98.08,1.68,99.25,99.98,97.47,16.58,100.0,1258.5
2021-08-25,17345,100.0,0.18,99.8,99.98,99.74,23.83,99.6,1728.51
2021-08-25,17346,100.0,4.0,95.48,100.0,100.0,0.82,100.0,4314.53
2021-08-25,17347,99.69,4.51,97.75,99.8,99.24,394.63,100.0,785.07
2021-08-25,17349,99.83,0.44,97.13,99.97,99.27,170.62,100.0,745.89
2021-08-25,17351,99.92,0.17,98.77,99.99,99.79,142.93,100.0,1227.87
